1A,WILLIAMS HARBOUR,373.000,0,0,195,52.559378,-55.781917,0,CY,0
1B,SABLE ISLAND,277.000,0,0,195,43.930556,-60.022778,0,CY,0
1D,CHARLOTTETOWN,346.000,0,0,195,52.775411,-56.125961,184,CY,0
1E,BLACK TICKLE,349.000,0,0,195,53.467128,-55.788664,0,CY,0
1F,BATHURST,363.000,0,0,195,47.630583,-65.744592,233,CY,0
1L,FORT MACKAY/FIREBAG,400.000,0,0,195,57.280661,-110.972233,1762,CY,0
1N,PELICAN,311.000,0,0,195,56.159722,-113.472222,2059,CY,0
1U,MASSET,278.000,0,0,195,54.031667,-132.127222,0,CY,0
2A,SOUTH INDIAN LAKE,330.000,0,0,195,56.793950,-98.904347,974,CY,0
2B,SPRINGDALE,364.000,0,0,195,49.490000,-56.184722,331,CY,0
2H,LEBEL-SUR-QUEVILLON,261.000,0,0,195,49.035856,-77.020044,1106,CY,0
2J,GRAND FORKS,250.000,0,0,195,49.017500,-118.423611,0,CY,0
2K,CAMROSE,405.000,0,0,195,53.032222,-112.813333,2449,CY,0
2Q,MONT-LAURIER,373.000,0,0,195,46.602508,-75.470681,0,CY,0
2Z,DIAVIK,382.000,0,0,195,64.509583,-110.309861,1413,CY,0
3B,BROCKVILLE,391.000,0,0,195,44.701389,-75.700000,0,CY,0
3D,CUMBERLAND HOUSE,398.000,0,0,195,53.957222,-102.297222,936,CY,0
3H,CONSORT,276.000,0,0,195,52.022778,-110.745556,0,CY,0
3M,DRAYTON VALLEY,385.000,0,0,195,53.267431,-114.957028,0,CY,0
3N,WEYBURN,298.000,0,0,195,49.696400,-103.803575,1963,CY,0
3R,POSTVILLE,366.000,0,0,195,54.907475,-59.795264,0,CY,0
3U,GATINEAU,414.000,0,0,195,45.519039,-75.564244,0,CY,0
3Z,RUSSELL,263.000,0,0,195,50.764167,-101.296389,1875,CY,0
4A,KOALA,111.800,0,1,195,64.698056,-110.609167,1540,CY,0
4A,KOALA,350.000,0,0,195,64.698056,-110.609167,0,CY,0
4J,KNEE LAKE,314.000,0,0,195,54.883333,-94.800000,0,CY,0
4O,SWAN HILLS,251.000,0,0,195,54.675000,-115.424444,0,CY,0
4T,SHAMATTAWA,280.000,0,0,195,55.859342,-92.085964,334,CY,0
4W,KELSEY,391.000,0,0,195,56.037500,-96.515278,0,CY,0
5B,SUMMERSIDE,254.000,0,0,195,46.396944,-63.881667,64,CY,0
5F,FOX CREEK,353.000,0,0,195,54.378611,-116.751667,0,CY,0
5F,FOX CREEK,110.000,0,1,195,54.378611,-116.751944,2800,CY,0
5J,CORONATION,328.000,0,0,195,52.074444,-111.448333,0,CY,0
5Q,FONTANGES,239.000,0,0,195,54.560128,-71.171028,0,CY,0
5U,FORT VERMILION,261.000,0,0,195,58.402500,-115.951111,0,CY,0
5U,FORT VERMILION,108.800,0,1,195,58.403333,-115.945833,850,CY,0
5V,DRUMHELLER,395.000,0,0,195,51.502500,-112.750833,0,CY,0
5W,LEAF RAPIDS,226.000,0,0,195,56.511667,-99.983889,0,CY,0
5Y,TRENTON,338.000,0,0,195,45.612144,-62.624811,65,CY,0
6E,GRAND MANAN,387.000,0,0,195,44.715556,-66.802222,0,CY,0
6F,PORT HOPE SIMPSON,367.000,0,0,195,52.520031,-56.295703,720,CY,0
6G,RED DEER,113.800,0,1,195,52.181186,-113.882658,2974,CY,0
6K,VERNON,302.000,0,0,195,50.350000,-119.260000,1330,CY,0
6P,MOBIL 1128 RAINBOW LAKE,291.000,0,0,195,58.551944,-118.918056,0,CY,0
6Q,CIGAR LAKE,222.000,0,0,195,58.069722,-104.538611,0,CY,0
6T,FOREMOST,362.000,0,0,195,49.484544,-111.486119,2884,CY,0
6X,YORK LANDING,339.000,0,0,195,56.087806,-96.093511,658,CY,0
7B,SAINT THOMAS,375.000,0,0,195,42.771364,-81.105208,811,CY,0
7C,FOGO,237.000,0,0,195,49.661667,-54.245278,0,CY,0
7D,HUDSON BAY,337.000,0,0,195,52.847922,-102.187311,0,CY,0
7F,COLLINS BAY,400.000,0,0,195,58.228889,-103.683056,0,CY,0
7H,MARYSTOWN WINTERLAND,234.000,0,0,195,47.137197,-55.324875,157,CY,0
7J,FORESTBURG,261.000,0,0,195,52.576389,-112.086111,2352,CY,0
7N,NAHANNI BUTTE,208.000,0,0,195,61.018611,-123.385000,0,CY,0
7P,IROQUOIS FALLS,382.000,0,0,195,48.708333,-80.736111,0,CY,0
